Date,price
01-01-2015,313.73
01-02-2015,316.32
01-05-2015,316.52
01-06-2015,310.55
01-07-2015,301.27
01-08-2015,305.75
01-09-2015,307.28
01-12-2015,305.97
1/13/2015,309.45
1/14/2015,305.5
1/15/2015,321.8
1/16/2015,320.15
1/19/2015,317.25
1/20/2015,316.9
1/21/2015,323.75
1/22/2015,327.25
1/23/2015,330.4
1/27/2015,330.77
1/28/2015,333.2
1/29/2015,333.2
1/30/2015,329.6
02-02-2015,310.7
02-03-2015,312
02-04-2015,302.83
02-05-2015,295.47
02-06-2015,292.93
02-09-2015,291.15
02-10-2015,284.15
02-11-2015,292.15
02-12-2015,288.95
2/13/2015,297.98
2/16/2015,311.88
2/18/2015,307.35
2/19/2015,306.7
2/20/2015,304.2
2/23/2015,303.9
2/24/2015,297.95
2/25/2015,299.82
2/26/2015,297
2/27/2015,296.13
2/28/2015,299.64
03-02-2015,305.9
03-03-2015,304.45
03-04-2015,314.5
03-05-2015,295.5
03-09-2015,293
03-10-2015,292
03-11-2015,289.72
03-12-2015,288.8
3/13/2015,290.52
3/16/2015,282.68
3/17/2015,283.95
3/18/2015,286.28
3/19/2015,290.15
3/20/2015,282.1
3/23/2015,279.7
3/24/2015,275.1
3/25/2015,272
3/26/2015,265.2
3/27/2015,262.4
3/30/2015,267.23
3/31/2015,270.13
04-01-2015,270.65
04-06-2015,275.6
04-07-2015,275.82
04-08-2015,274.63
04-09-2015,278.4
04-10-2015,284.18
4/13/2015,288.15
4/15/2015,290.93
4/16/2015,292.25
4/17/2015,292.95
4/20/2015,292.18
4/21/2015,289.7
4/22/2015,291.9
4/23/2015,286.2
4/24/2015,278.98
4/27/2015,276.55
4/28/2015,270.25
4/29/2015,272.82
4/30/2015,271.78
05-04-2015,276
05-05-2015,277
05-06-2015,272.53
05-07-2015,265.63
05-08-2015,266
05-11-2015,270.3
05-12-2015,275.35
5/13/2015,272.45
5/14/2015,277.95
5/15/2015,285.18
5/18/2015,289.95
5/19/2015,290.28
5/20/2015,292.15
5/21/2015,294.38
5/22/2015,299
5/25/2015,282.25
5/26/2015,279.9
5/27/2015,279.3
5/28/2015,279.8
5/29/2015,280.15
06-01-2015,280.32
06-02-2015,279.13
06-03-2015,267.15
06-04-2015,260.65
06-05-2015,259.5
06-08-2015,258.75
06-09-2015,256.65
06-10-2015,260.77
06-11-2015,262.6
06-12-2015,254.78
6/15/2015,255.3
6/16/2015,253
6/17/2015,256.45
6/18/2015,258.58
6/19/2015,261.5
6/22/2015,264.15
6/23/2015,270.3
6/24/2015,267.8
6/25/2015,263.63
6/26/2015,265.5
6/29/2015,259.77
6/30/2015,261.3
07-01-2015,266.3
07-02-2015,269.57
07-03-2015,268.68
07-06-2015,267.35
07-07-2015,272.52
07-08-2015,270.45
07-09-2015,269.15
07-10-2015,270.63
7/13/2015,273.18
7/14/2015,273.6
7/15/2015,270.23
7/16/2015,271.25
7/17/2015,273.2
7/20/2015,272
7/21/2015,268.4
7/22/2015,266.55
7/23/2015,270.25
7/24/2015,269.53
7/27/2015,263.3
7/28/2015,262.07
7/29/2015,260.35
7/30/2015,256.55
7/31/2015,265.88
08-03-2015,276.5
08-04-2015,286.23
08-05-2015,290.45
08-06-2015,288.2
08-07-2015,288.5
08-10-2015,284.02
08-11-2015,287.63
08-12-2015,267.45
8/13/2015,261.3
8/14/2015,265.65
8/17/2015,276.95
8/18/2015,284.4
8/19/2015,284.93
8/20/2015,279.65
8/21/2015,265.2
8/24/2015,256.2
8/25/2015,252.4
8/26/2015,252.9
8/27/2015,251.57
8/28/2015,255.2
8/31/2015,250.18
09-01-2015,244.85
09-02-2015,242.82
09-03-2015,234.02
09-04-2015,231.9
09-07-2015,227.3
09-08-2015,226.63
09-09-2015,234.22
09-10-2015,228.58
09-11-2015,232.1
9/14/2015,233.78
9/15/2015,236.82
9/16/2015,237.07
9/18/2015,243.22
9/21/2015,242.78
9/22/2015,248.2
9/23/2015,238.45
9/24/2015,240.45
9/28/2015,242.32
9/29/2015,240.7
9/30/2015,245.13
10-01-2015,241.55
10-05-2015,239.73
10-06-2015,242.75
10-07-2015,242.2
10-08-2015,243.82
10-09-2015,246.65
10-12-2015,244.88
10/13/2015,245.75
10/14/2015,245.25
10/15/2015,247.95
10/16/2015,253.5
10/19/2015,256.88
10/20/2015,255.8
10/21/2015,254.95
10/23/2015,253.93
10/26/2015,255.38
10/27/2015,251.15
10/28/2015,248.72
10/29/2015,241.65
10/30/2015,239.55
11-02-2015,238
11-03-2015,239.53
11-04-2015,239.85
11-05-2015,238.5
11-06-2015,240.2
11-09-2015,242.15
11-10-2015,246.07
11/13/2015,241.65
11/16/2015,244.43
11/17/2015,250.82
11/18/2015,248.15
11/19/2015,244.03
11/20/2015,246.92
11/23/2015,244.57
11/24/2015,243.25
11/26/2015,243.42
11/27/2015,246.75
11/30/2015,251.32
12-01-2015,251.38
12-02-2015,250.6
12-03-2015,244.32
12-04-2015,241.07
12-07-2015,242.95
12-08-2015,239.03
12-09-2015,236.8
12-10-2015,236.38
12-11-2015,233.4
12/14/2015,226.3
12/15/2015,227.07
12/16/2015,228.68
12/17/2015,231.2
12/18/2015,231.15
12/21/2015,228.95
12/22/2015,231.95
12/23/2015,230.63
12/24/2015,230.93
12/28/2015,229.5
12/29/2015,229.4
12/30/2015,229.35
12/31/2015,226.25
01-01-2016,226.95
01-04-2016,226.95
01-05-2016,222.8
01-06-2016,218.9
01-07-2016,214.05
01-08-2016,212.25
01-11-2016,207.15
01-12-2016,204.93
1/13/2016,201.88
1/14/2016,199.25
1/15/2016,197.8
1/18/2016,186.52
1/19/2016,184.97
1/20/2016,180.65
1/21/2016,177.82
1/22/2016,182.65
1/25/2016,188.35
1/27/2016,185.3
1/28/2016,185.05
1/29/2016,184.97
02-01-2016,181.95
02-02-2016,175.25
02-03-2016,167.8
02-04-2016,169.55
02-05-2016,166.5
02-08-2016,173.17
02-09-2016,170.2
02-10-2016,165.6
02-11-2016,163.5
02-12-2016,156.9
2/15/2016,164.5
2/16/2016,170.75
2/17/2016,157.43
2/18/2016,162.82
2/19/2016,161.6
2/22/2016,166.38
2/23/2016,165
2/24/2016,158.35
2/25/2016,157.85
2/26/2016,157.1
2/29/2016,161.05
03-01-2016,161.7
03-02-2016,177.85
03-03-2016,184.3
03-04-2016,186.63
03-08-2016,186.95
03-09-2016,182
03-10-2016,184.75
03-11-2016,181.32
3/14/2016,182.92
3/15/2016,183.92
3/16/2016,185.45
3/17/2016,188.65
3/18/2016,189.43
3/21/2016,195.15
3/22/2016,197.53
3/23/2016,197.25
3/28/2016,197.03
3/29/2016,189.88
3/30/2016,195.28
3/31/2016,198.3
04-01-2016,195.47
04-04-2016,197.38
04-05-2016,194.22
04-06-2016,185.25
04-07-2016,184.72
04-08-2016,182.8
04-11-2016,186.38
04-12-2016,189.38
4/13/2016,192.68
4/18/2016,191.47
4/20/2016,188.5
4/21/2016,193.95
4/22/2016,197.55
4/25/2016,201.75
4/26/2016,198.67
4/27/2016,200.9
4/28/2016,197.47
4/29/2016,192.95
05-02-2016,188.03
05-03-2016,188.18
05-04-2016,183.95
05-05-2016,181.47
05-06-2016,182.95
05-09-2016,187.95
05-10-2016,188.95
05-11-2016,186.95
05-12-2016,188.3
5/13/2016,187.95
5/16/2016,185
5/17/2016,178.55
5/18/2016,178.67
5/19/2016,181
5/20/2016,174.1
5/23/2016,172.5
5/24/2016,169.6
5/25/2016,173.65
5/26/2016,180.3
5/27/2016,193.2
5/30/2016,202.05
5/31/2016,202.25
06-01-2016,207.13
06-02-2016,200.08
06-03-2016,201.57
06-06-2016,200.03
06-07-2016,205.8
06-08-2016,211.02
06-09-2016,211.4
06-10-2016,210.43
6/13/2016,202.05
6/14/2016,206.48
6/15/2016,213.65
6/16/2016,217.25
6/17/2016,217.13
6/20/2016,212.35
6/21/2016,216.25
6/22/2016,214.63
6/23/2016,215.5
6/24/2016,209.13
6/27/2016,214.83
6/28/2016,217.7
6/29/2016,218.35
6/30/2016,220.95
07-01-2016,220.9
07-04-2016,223.35
07-05-2016,224.2
07-07-2016,224.25
07-08-2016,220.5
07-11-2016,224.53
07-12-2016,226.1
7/13/2016,227.75
7/14/2016,229.93
7/15/2016,233.65
7/18/2016,233.13
7/19/2016,231.07
7/20/2016,231.7
7/21/2016,231.88
7/22/2016,225.65
7/25/2016,227
7/26/2016,231.1
7/27/2016,229.38
7/28/2016,232.65
7/29/2016,231.35
08-01-2016,231.72
08-02-2016,230.1
08-03-2016,229.5
08-04-2016,228.57
08-05-2016,230.63
08-08-2016,234.92
08-09-2016,236.13
08-10-2016,236.82
08-11-2016,231.55
08-12-2016,237.47
8/16/2016,246.57
8/17/2016,248.13
8/18/2016,248.65
8/19/2016,257.5
8/22/2016,260.1
8/23/2016,255.35
8/24/2016,255.58
8/25/2016,255.22
8/26/2016,250.5
8/29/2016,247.85
8/30/2016,251.52
8/31/2016,254.53
09-01-2016,253.4
09-02-2016,253.6
09-06-2016,259.35
09-07-2016,266.6
09-08-2016,269.8
09-09-2016,268.4
09-12-2016,258.13
9/14/2016,256.5
9/15/2016,258.35
9/16/2016,259.98
9/19/2016,257.15
9/20/2016,256.4
9/21/2016,255.38
9/22/2016,258.18
9/23/2016,258.8
9/26/2016,254.2
9/27/2016,253.52
9/28/2016,252.9
9/29/2016,255.88
9/30/2016,249.68
10-03-2016,254.82
10-04-2016,258.9
10-05-2016,263.45
10-06-2016,261.68
10-07-2016,258.57
10-10-2016,259.82
10/13/2016,255.15
10/14/2016,252.28
10/17/2016,255.1
10/18/2016,256.3
10/19/2016,258
10/20/2016,258.3
10/21/2016,259.75
10/24/2016,262.1
10/25/2016,264.27
10/26/2016,262.63
10/27/2016,258.05
10/28/2016,257.35
11-01-2016,258.95
11-02-2016,255.05
11-03-2016,251.97
11-04-2016,246.82
11-07-2016,250.95
11-08-2016,253.9
11-09-2016,248.02
11-10-2016,275.6
11-11-2016,283.77
11/15/2016,279.3
11/16/2016,284.4
11/17/2016,280.1
11/18/2016,279.07
11/21/2016,277.38
11/22/2016,261.72
11/23/2016,260.07
11/24/2016,260.4
11/25/2016,264
11/28/2016,255.6
11/29/2016,255.38
11/30/2016,257.07
12-01-2016,260.32
12-02-2016,257.67
12-05-2016,256.1
12-06-2016,259.32
12-07-2016,261.55
12-08-2016,259.48
12-09-2016,264
12-12-2016,269.13
12/13/2016,265.82
12/14/2016,266.13
12/15/2016,263.7
12/16/2016,266.35
12/19/2016,263.93
12/20/2016,262.38
12/21/2016,257.05
12/22/2016,254.25
12/23/2016,250.78
12/26/2016,248.15
12/27/2016,247.28
12/28/2016,250.88
12/29/2016,248.25
12/30/2016,250.03
01-02-2017,253.07
01-03-2017,245.2
01-04-2017,246.1
01-05-2017,245.45
01-06-2017,247.5
01-09-2017,247.38
01-10-2017,248.35
01-11-2017,251.42
01-12-2017,253.67
1/13/2017,252.3
1/16/2017,253.72
1/17/2017,258.05
1/18/2017,258.2
1/19/2017,259.6
1/20/2017,259.5
1/23/2017,253.1
1/24/2017,256.05
1/25/2017,258.28
1/27/2017,264.25
1/30/2017,266.88
1/31/2017,262.5
02-01-2017,266.95
02-02-2017,273.43
02-03-2017,275.77
02-06-2017,281.25
02-07-2017,278.93
02-08-2017,278.68
02-09-2017,279.55
02-10-2017,280.77
2/13/2017,278.02
2/14/2017,272.5
2/15/2017,271.73
2/16/2017,277
2/17/2017,272.4
2/20/2017,270.72
2/21/2017,270.75
2/22/2017,273.3
2/23/2017,272.35
2/27/2017,271.13
2/28/2017,270.07
03-01-2017,271.65
03-02-2017,273.85
03-03-2017,267.57
03-06-2017,268.48
03-07-2017,270.85
03-08-2017,269.05
03-09-2017,271.45
03-10-2017,275.02
3/14/2017,278.4
3/15/2017,276.57
3/16/2017,279.1
3/17/2017,279.48
3/20/2017,274.75
3/21/2017,275.72
3/22/2017,270.65
3/23/2017,269.2
3/24/2017,274.23
3/27/2017,278.4
3/28/2017,281.77
3/29/2017,286.52
3/30/2017,291.38
3/31/2017,293.5
04-03-2017,295.25
04-05-2017,296.02
04-06-2017,296.5
04-07-2017,293.25
04-10-2017,290.07
04-11-2017,292.22
04-12-2017,294.73
4/13/2017,291.68
4/17/2017,291.93
4/18/2017,293.97
4/19/2017,291.65
4/20/2017,285.4
4/21/2017,287
4/24/2017,285.55
4/25/2017,288.15
4/26/2017,288.3
4/27/2017,287.2
4/28/2017,286.88
05-02-2017,291.38
05-03-2017,291.3
05-04-2017,297
05-05-2017,302.95
05-08-2017,298.43
05-09-2017,300.9
05-10-2017,297.57
05-11-2017,297.65
05-12-2017,301.3
5/15/2017,300.2
5/16/2017,305.2
5/17/2017,308.4
5/18/2017,306.38
5/19/2017,309.88
5/22/2017,309.18
5/23/2017,295.45
5/24/2017,290.25
5/25/2017,287.75
5/26/2017,290.75
5/29/2017,289.88
5/30/2017,286.57
5/31/2017,290.25
06-01-2017,289.68
06-02-2017,290.2
06-05-2017,288.9
06-06-2017,292.48
06-07-2017,289.85
06-08-2017,292
06-09-2017,288.85
06-12-2017,286.88
6/13/2017,286.2
6/14/2017,286.1
6/15/2017,284.82
6/16/2017,285.68
6/19/2017,288.23
6/20/2017,289.3
6/21/2017,290.35
6/22/2017,293.57
6/23/2017,295.15
6/27/2017,289.35
6/28/2017,278.03
6/29/2017,278.22
6/30/2017,273.38
07-03-2017,274.8
07-04-2017,275.73
07-05-2017,274.75
07-06-2017,278.88
07-07-2017,281.5
07-10-2017,285.55
07-11-2017,288.6
07-12-2017,286.55
7/13/2017,289.45
7/14/2017,291.2
7/17/2017,293.45
7/18/2017,294.13
7/19/2017,292.75
7/20/2017,293.63
7/21/2017,291.63
7/24/2017,293.55
7/25/2017,296.65
7/26/2017,297.95
7/27/2017,298.43
7/28/2017,298.88
7/31/2017,306.63
08-01-2017,314.4
08-02-2017,310.9
08-03-2017,307.2
08-04-2017,303.3
08-07-2017,308.8
08-08-2017,311.4
08-09-2017,305.1
08-10-2017,301.8
08-11-2017,298.75
8/14/2017,281.93
8/16/2017,281.47
8/17/2017,284.25
8/18/2017,278.82
8/21/2017,279.82
8/22/2017,276.5
8/23/2017,277.23
8/24/2017,280.58
8/28/2017,282.1
8/29/2017,279.65
8/30/2017,278.63
8/31/2017,278.18
09-01-2017,279.02
09-04-2017,279.28
09-05-2017,278.8
09-06-2017,276.3
09-07-2017,276.15
09-08-2017,275.15
09-11-2017,273.05
09-12-2017,273.82
9/13/2017,275.78
9/14/2017,274.5
9/15/2017,272.63
9/18/2017,273.5
9/19/2017,270.63
9/20/2017,270.1
9/21/2017,270.57
9/22/2017,267.32
9/25/2017,261.65
9/26/2017,259.07
9/27/2017,259.9
9/28/2017,251.9
9/29/2017,255.1
10-03-2017,256.4
10-04-2017,253.15
10-05-2017,253.9
10-06-2017,255.02
10-09-2017,257.7
10-10-2017,257.53
10-11-2017,257.8
10-12-2017,252.47
10/13/2017,253.23
10/16/2017,254.65
10/17/2017,253.38
10/18/2017,246.9
10/19/2017,244.53
10/23/2017,245.5
10/24/2017,250.65
10/25/2017,303.95
10/26/2017,340.65
10/27/2017,321.93
10/30/2017,317.18
10/31/2017,313.43
11-01-2017,315.43
11-02-2017,321.57
11-03-2017,321.48
11-06-2017,326.8
11-07-2017,330.33
11-08-2017,318.65
11-09-2017,315.57
11-10-2017,326.75
11/13/2017,340.77
11/14/2017,332.53
11/15/2017,329.57
11/16/2017,330.8
11/17/2017,345.85
11/20/2017,337.13
11/21/2017,335.2
11/22/2017,335.25
11/23/2017,336.07
11/24/2017,336.5
11/27/2017,333.45
11/28/2017,336.35
11/29/2017,333.6
11/30/2017,326.15
12-01-2017,321.9
12-04-2017,315.33
12-05-2017,316.6
12-06-2017,317.05
12-07-2017,315.13
12-08-2017,317.73
12-11-2017,317.63
12-12-2017,319.13
12/13/2017,317.55
12/14/2017,314.85
12/15/2017,318.88
12/18/2017,315.75
12/19/2017,320.85
12/20/2017,319
12/21/2017,317.4
12/22/2017,320.48
12/26/2017,319.28
12/27/2017,318.4
12/28/2017,315.9
12/29/2017,311
01-01-2018,311.68
01-02-2018,309
01-03-2018,305.88
01-04-2018,307.35
01-05-2018,311.4
01-08-2018,308.35
01-09-2018,308.5
01-10-2018,305.25
01-11-2018,301.95
01-12-2018,304.65
1/15/2018,304.6
1/16/2018,302.88
1/17/2018,302.2
1/18/2018,316.4
1/19/2018,306.98
1/22/2018,308.55
1/23/2018,313.47
1/24/2018,324.65
1/25/2018,332.75
1/29/2018,315.02
1/30/2018,315.45
1/31/2018,314.8
02-01-2018,317.15
02-02-2018,304.32
02-05-2018,296.52
02-06-2018,291.15
02-07-2018,297.25
02-08-2018,298.1
02-09-2018,298.8
02-12-2018,290.32
2/14/2018,288.7
2/15/2018,278.55
2/16/2018,280.85
2/19/2018,271.75
2/20/2018,271.6
2/21/2018,273.15
2/22/2018,272
2/23/2018,275.33
2/26/2018,280
2/27/2018,274.45
2/28/2018,266.98
03-01-2018,268.15
03-05-2018,262.73
03-06-2018,265.93
03-07-2018,255.2
03-08-2018,252.48
03-09-2018,257.2
03-12-2018,254.68
3/13/2018,256.85
3/14/2018,255.18
3/15/2018,257.9
3/16/2018,253.17
3/19/2018,253.25
3/20/2018,249.55
3/21/2018,253.03
3/22/2018,247.18
3/23/2018,238.72
3/26/2018,241.3
3/27/2018,252.75
3/28/2018,254.1
04-02-2018,251.9
04-03-2018,251.18
04-04-2018,252.35
04-05-2018,257.25
04-06-2018,260.55
04-09-2018,261.7
04-10-2018,263.05
04-11-2018,263
04-12-2018,257.5
4/13/2018,254.97
4/16/2018,250.33
4/17/2018,251.95
4/18/2018,249.7
4/19/2018,247.78
4/20/2018,245.85
4/23/2018,243.38
4/24/2018,242.7
4/25/2018,240.22
4/26/2018,238.6
4/27/2018,239.53
4/30/2018,247.25
05-02-2018,246.1
05-03-2018,242.17
05-04-2018,243.7
05-07-2018,245.32
05-08-2018,250.3
05-09-2018,249.8
05-10-2018,249.22
05-11-2018,249.6
5/14/2018,252.88
5/15/2018,255.23
5/16/2018,247.1
5/17/2018,245.1
5/18/2018,243.5
5/21/2018,244.65
5/22/2018,251.68
5/23/2018,262.2
5/24/2018,266.78
5/25/2018,268.1
5/28/2018,270.8
5/29/2018,270.73
5/30/2018,264.25
5/31/2018,270.82
06-01-2018,269.52
06-04-2018,268.18
06-05-2018,263.07
06-06-2018,267.2
06-07-2018,271.97
06-08-2018,271.43
06-11-2018,275.85
06-12-2018,279.2
6/13/2018,286.82
6/14/2018,286.55
6/15/2018,283.1
6/18/2018,278.88
6/19/2018,276.35
6/20/2018,273.98
6/21/2018,274.75
6/22/2018,271.35
6/25/2018,272.5
6/26/2018,269.23
6/27/2018,267.35
6/28/2018,261.2
6/29/2018,260.85
07-02-2018,260.35
07-03-2018,260.25
07-04-2018,257.05
07-05-2018,258.3
07-06-2018,258.45
07-09-2018,260.3
07-10-2018,264.8
07-11-2018,262.65
07-12-2018,262.95
7/13/2018,262.25
7/16/2018,260.33
7/17/2018,255.28
7/18/2018,261.3
