Date,price
01-01-2015,318
02-02-2015,300
03-02-2015,285
04-01-2015,282
05-04-2015,280
06-01-2015,263
07-01-2015,268
08-03-2015,272
09-01-2015,237
10-01-2015,248
11-02-2015,244
12-01-2015,234
01-01-2016,200
02-01-2016,165
03-01-2016,187
04-01-2016,193
05-02-2016,184
06-01-2016,211
07-01-2016,228
08-01-2016,244
09-01-2016,258
10-03-2016,259
11-01-2016,264
12-01-2016,258
01-02-2017,254
02-01-2017,275
03-01-2017,276
04-03-2017,291
05-02-2017,298
06-01-2017,287
07-03-2017,290
08-01-2017,292
09-01-2017,270
10-03-2017,270
11-01-2017,330
12-01-2017,318
